source,city,temp,date,yes_price,volume,market_id,created_at,resolved_at,end_date,question,outcome,closed
polymarket_resolved_temps.json,Seoul be 7°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 8°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 9°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 10°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 11°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 12°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 13°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 14°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 15°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 16°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Seoul be 17°C or higher,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 13°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 14°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 15°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 16°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 17°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 18°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 19°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 20°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 21°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 22°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shanghai be 23°C or higher,,March 29,,,,,,,,,
polymarket_resolved_temps.json,London be 6°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,London be 7°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,London be 8°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,London be 9°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,London be 10°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 12°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 13°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 14°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 15°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 16°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 17°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 18°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 19°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 20°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 21°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Tokyo be 22°C or higher,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Miami be 71°F or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 21°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 22°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 23°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 24°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 25°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 26°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 27°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 28°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 29°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 30°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Shenzhen be 31°C or higher,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Paris be 6°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Paris be 7°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Paris be 8°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Paris be 9°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Paris be 10°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Paris be 11°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Munich be 2°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Munich be 3°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Munich be 4°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Munich be 5°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,New York City be 47°F or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 34°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 35°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 36°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 37°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 38°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 39°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 40°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 41°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 42°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 43°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Lucknow be 44°C or higher,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Austin be 73°F or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Milan be 12°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Milan be 13°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Milan be 14°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Milan be 15°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Milan be 16°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Milan be 17°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 15°C or below,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 16°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 17°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 18°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 19°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 20°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 21°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 22°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 23°C,,March 29,,,,,,,,,
polymarket_resolved_temps.json,Beijing be 24°C,,March 29,,,,,,,,,
